0	0.481712	0.0658458	-0.211386
1	0.460054	0.0640768	-0.437919
2	0.349651	0.0320222	-0.628523
3	0.28258	0.00081209	-0.721917
4	0.23694	-0.00583082	-0.771775
5	0.217276	-0.0597959	-0.782515
6	0.194696	-0.10913	-0.798925
7	0.190763	-0.122623	-0.801425
8	0.191643	-0.194071	-0.80544
9	0.192524	-0.221395	-0.80646
10	0.189066	-0.31908	-0.807763
11	0.183711	-0.440923	-0.805579
12	0.175237	-0.521217	-0.805227
13	0.159439	-0.572022	-0.809137
14	0.148389	-0.646743	-0.807058
15	0.137541	-0.648159	-0.809876
16	0.138761	-0.648934	-0.810721
17	0.130354	-0.648794	-0.813116
18	0.131914	-0.654318	-0.811496
19	0.138965	-0.662761	-0.81051
20	0.133745	-0.665948	-0.80889
21	0.127912	-0.679161	-0.815652
22	0.126422	-0.683194	-0.81368
23	0.133474	-0.6762	-0.809876
24	0.119846	-0.672485	-0.813469
25	0.110625	-0.679484	-0.816005
26	0.100319	-0.673497	-0.819668
27	0.0963875	-0.677793	-0.816709
28	0.11022	-0.681713	-0.810792
29	0.111576	-0.685617	-0.808679
30	0.119507	-0.684367	-0.812412
31	0.122083	-0.68462	-0.813962
32	0.124659	-0.689945	-0.813398
33	0.106625	-0.709274	-0.816638
34	0.110288	-0.6945	-0.810721
35	0.129812	-0.670218	-0.812271
36	0.129404	-0.681368	-0.815511
37	0.121742	-0.681164	-0.817836
38	0.111505	-0.69239	-0.818611
39	0.122896	-0.671639	-0.813821
40	0.123643	-0.683657	-0.811637
41	0.133677	-0.666137	-0.810369
42	0.123235	-0.690134	-0.814877
43	0.120862	-0.685261	-0.815934
44	0.124997	-0.681169	-0.816568
45	0.119439	-0.698576	-0.813891
46	0.116794	-0.688244	-0.816638
47	0.109743	-0.683307	-0.817625
48	0.111777	-0.677987	-0.81692
49	0.115708	-0.660715	-0.81847
50	0.12432	-0.689622	-0.813046
51	0.129608	-0.677422	-0.812482
52	0.132932	-0.664139	-0.806917
53	0.124796	-0.678283	-0.808326
54	0.118084	-0.680803	-0.811074
55	0.124592	-0.683921	-0.810651
56	0.121201	-0.672732	-0.816286
57	0.116728	-0.673147	-0.810369
58	0.120863	-0.680738	-0.811003
59	0.127304	-0.685735	-0.811355
60	0.122626	-0.681519	-0.81058
61	0.120456	-0.666061	-0.812835
62	0.122694	-0.66808	-0.811214
63	0.109812	-0.68573	-0.812623
64	0.106963	-0.69324	-0.816991
65	0.107235	-0.693504	-0.816005
66	0.120253	-0.684825	-0.811637
67	0.121676	-0.687345	-0.814384
68	0.115643	-0.694565	-0.810792
69	0.108591	-0.678838	-0.8153
70	0.106557	-0.67936	-0.814596
71	0.110559	-0.680744	-0.809735
72	0.10683	-0.697548	-0.811496
73	0.103438	-0.685191	-0.817132
74	0.110218	-0.683253	-0.815018
75	0.114353	-0.680975	-0.816357
76	0.105675	-0.695512	-0.81692
77	0.107981	-0.689288	-0.81523
78	0.114965	-0.69352	-0.812201
79	0.134421	-0.676313	-0.813821
80	0.126354	-0.678461	-0.812342
81	0.127099	-0.680981	-0.815089
82	0.12703	-0.677788	-0.817977
83	0.12737	-0.66787	-0.81428
84	0.116253	-0.695399	-0.812448
85	0.123102	-0.682634	-0.807447
86	0.122694	-0.683145	-0.809278
87	0.124793	-0.668635	-0.817661
88	0.126083	-0.651325	-0.813328
89	0.13544	-0.658739	-0.809946
90	0.127509	-0.655315	-0.806213
91	0.142965	-0.669066	-0.808467
92	0.128864	-0.653872	-0.809208
93	0.133338	-0.67347	-0.810721
94	0.136726	-0.673319	-0.815652
95	0.134015	-0.658529	-0.813539
96	0.125812	-0.681191	-0.811496
97	0.12317	-0.676727	-0.807904
98	0.121269	-0.6802	-0.815511
99	0.111168	-0.678719	-0.812623
100	0.110626	-0.669889	-0.813187
101	0.105677	-0.666578	-0.813398
102	0.104117	-0.667294	-0.812905
103	0.110083	-0.668592	-0.813046
104	0.114897	-0.661393	-0.811567
105	0.111032	-0.666643	-0.813469
106	0.105744	-0.687022	-0.814032
107	0.0982845	-0.682321	-0.820372
108	0.110894	-0.68258	-0.820654
109	0.10859	-0.670907	-0.818118
110	0.0943542	-0.674164	-0.8153
111	0.10371	-0.691695	-0.814032
112	0.100049	-0.68805	-0.816427
113	0.101878	-0.696546	-0.818047
114	0.101339	-0.691647	-0.810158
115	0.0984226	-0.686246	-0.813187
116	0.111032	-0.684168	-0.813469
117	0.113946	-0.689541	-0.816252
118	0.125405	-0.686252	-0.811391
119	0.113878	-0.68973	-0.817731
120	0.108319	-0.68623	-0.816991
121	0.109813	-0.683791	-0.809983
122	0.109269	-0.675855	-0.814596
123	0.110354	-0.69001	-0.813469
124	0.108386	-0.684599	-0.819034
125	0.120183	-0.681234	-0.816638
126	0.124115	-0.673308	-0.818188
127	0.113335	-0.682068	-0.818822
128	0.111304	-0.683264	-0.812482
129	0.123304	-0.664118	-0.811989
130	0.124186	-0.67004	-0.807728
131	0.110759	-0.681939	-0.818154
132	0.115573	-0.674864	-0.818611
133	0.124999	-0.664963	-0.811637
134	0.119914	-0.67697	-0.811989
135	0.127169	-0.675225	-0.80956
136	0.132796	-0.659719	-0.808467
137	0.119033	-0.668861	-0.810792
138	0.114152	-0.671973	-0.811637
139	0.107845	-0.689541	-0.816779
140	0.105743	-0.684286	-0.816145
141	0.102151	-0.670336	-0.814948
142	0.111642	-0.673841	-0.814948
143	0.109744	-0.682935	-0.813398
144	0.103575	-0.686381	-0.811532
145	0.0921173	-0.682413	-0.813575
146	0.103439	-0.697149	-0.813082
147	0.119982	-0.685083	-0.811391
148	0.112116	-0.690392	-0.814632
149	0.117812	-0.687549	-0.81206
