0.0001	1	0.0144489	0.0257833
0.0011	0.999729	0.0141905	0.0260651
0.0021	0.983791	0.0258799	0.0399817
0.0031	0.917124	0.873692	0.0190273
0.0041	0.0537578	0.0802289	0.971541
0.0051	0.0331024	0.831557	0.9092
0.0061	0.0522981	0.794482	0.881516
0.0071	0.0793616	0.747975	0.843547
0.0081	0.136116	0.662615	0.814173
0.0091	0.177216	0.54143	0.76814
0.0101	0.231734	0.262193	0.736513
0.0111	0.262658	0.165338	0.709673
0.0121	0.264972	0.132474	0.681922
0.0131	0.272162	0.0826709	0.667768
0.0141	0.259693	0.0454722	0.643411
0.0151	0.27739	0.0692004	0.64069
0.0161	0.273801	0.0951524	0.598155
0.0171	0.246618	0.0672034	0.601381
0.0181	0.296144	0.0475084	0.573657
0.0191	0.200728	0.0552835	0.555422
0.0201	0.236051	0.0221334	0.525806
0.0211	0.185277	0.0227691	0.510595
0.0221	0.116057	0.06462	0.508386
0.0231	0.145278	0.0477031	0.465756
0.0241	0.0921953	0.00986332	0.41146
0.0251	0.0580301	0.0594947	0.381836
0.0261	0.0482691	0.0710653	0.316703
0.0271	0.0230469	0.021574	0.246349
0.0281	0.0214254	0.0315832	0.121768
0.0291	0.00650981	0.00744616	0.0690228
0.0301	0.0209522	0.0104719	0.0394395
0.0311	0.0204044	0.00361262	0.0264361
0.0321	0.00969411	0.00492645	0.00267011
0.0331	0.0218979	0.0379044	0.0126235
0.0341	0.0154598	0.0603992	0.032833
0.0351	0.0181688	0.0109675	0.00946027
0.0361	0.000408035	0.0364293	0.0209994
0.0371	0.0338267	0.0133363	0.0108087
0.0381	0.0395243	0.0375168	0.0228226
0.0391	0.0385083	0.027836	0.022467
0.0401	0.0205423	0.0385613	0.0330183
0.0411	0.0333547	0.0166855	0.00671804
0.0421	0.00210055	0.00517947	0.00586771
0.0431	0.0290175	0.0152696	0.026333
0.0441	0.0200665	0.0238303	0.0115375
0.0451	0.0174914	0.00901843	0.0156852
0.0461	0.000272396	0.00316578	0.0150563
0.0471	0.00989881	0.0160232	0.0132608
0.0481	0.0117287	0.0310289	0.0206078
0.0491	0.00169561	0.0171269	0.00369571
