1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
30	30
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	38
40	40
41	41
42	40
43	42
44	44
45	45
46	43
47	45
48	48
49	49
50	50
51	50
52	48
53	49
54	48
55	55
56	50
57	39
58	47
59	54
60	47
61	58
62	47
63	51
64	59
65	46
66	46
67	39
68	43
69	46
70	27
71	35
72	25
73	27
74	38
75	36
76	29
77	27
78	19
79	24
80	25
81	28
82	19
83	10
84	16
85	15
86	14
87	8
88	19
89	10
90	15
91	7
92	9
93	9
94	4
95	3
96	5
97	6
98	4
99	2
100	3
