0	0.754332
1	0.892456
2	0.947719
3	0.973824
4	0.983792
5	0.985758
6	0.987046
7	0.987114
8	0.987792
9	0.988945
10	0.98786
11	0.988335
12	0.988538
13	0.989963
14	0.989556
15	0.987657
16	0.987928
17	0.988403
18	0.988674
19	0.989352
20	0.989285
21	0.987725
22	0.98881
23	0.987386
24	0.987928
25	0.98786
26	0.987386
27	0.988132
28	0.990641
29	0.987657
30	0.98786
31	0.987996
32	0.989081
33	0.988606
34	0.989149
35	0.987792
36	0.987725
37	0.989149
38	0.988335
39	0.989556
40	0.989963
41	0.989691
42	0.990031
43	0.988403
44	0.987725
45	0.989285
46	0.988945
47	0.988945
48	0.987114
49	0.987318
50	0.988403
51	0.988606
52	0.988335
53	0.988267
54	0.988132
55	0.989895
56	0.988538
57	0.99037
58	0.987453
59	0.986707
60	0.987725
61	0.987725
62	0.987453
63	0.988403
64	0.988335
65	0.987521
66	0.988335
67	0.990234
68	0.988742
69	0.988267
70	0.990234
71	0.988199
72	0.986843
73	0.987046
74	0.986843
75	0.98664
76	0.987453
77	0.988132
78	0.986911
79	0.987521
80	0.987453
81	0.988064
82	0.988606
83	0.989352
84	0.989759
85	0.988471
86	0.989352
87	0.989691
88	0.989149
89	0.989488
90	0.988945
91	0.988335
92	0.988674
93	0.987928
94	0.987386
95	0.988945
96	0.989217
97	0.989895
98	0.988606
99	0.987046
100	0.988538
101	0.988674
102	0.988538
103	0.988064
104	0.987657
105	0.987996
106	0.986979
107	0.988335
108	0.988742
109	0.987996
110	0.987792
111	0.987996
112	0.987114
113	0.987521
114	0.988064
115	0.98725
116	0.986707
117	0.988335
118	0.989013
119	0.986775
120	0.988674
121	0.988132
122	0.988674
123	0.98881
124	0.988606
125	0.990166
126	0.988878
127	0.988674
128	0.989352
129	0.987318
130	0.989081
131	0.989556
132	0.989556
133	0.989691
134	0.988335
135	0.989556
136	0.987589
137	0.988471
138	0.989013
139	0.987996
140	0.988878
141	0.988335
142	0.98786
143	0.988335
144	0.98881
145	0.988199
146	0.987182
147	0.987996
148	0.988064
149	0.98725
