0	-0.514828
1	-0.796231
2	-0.913473
3	-0.963517
4	-0.979045
5	-0.986165
6	-0.988403
7	-0.988471
8	-0.988674
9	-0.987657
10	-0.987657
11	-0.986436
12	-0.989285
13	-0.989488
14	-0.988267
15	-0.988674
16	-0.989149
17	-0.989488
18	-0.989352
19	-0.989488
20	-0.988878
21	-0.988132
22	-0.98786
23	-0.986911
24	-0.987996
25	-0.987792
26	-0.986911
27	-0.98725
28	-0.987792
29	-0.988132
30	-0.987725
31	-0.987725
32	-0.987386
33	-0.988064
34	-0.98881
35	-0.98942
36	-0.989013
37	-0.990641
38	-0.988674
39	-0.988267
40	-0.987453
41	-0.989013
42	-0.987657
43	-0.987792
44	-0.98881
45	-0.988606
46	-0.989352
47	-0.989285
48	-0.98786
49	-0.988878
50	-0.990098
51	-0.990302
52	-0.989352
53	-0.989624
54	-0.989013
55	-0.989285
56	-0.987792
57	-0.988471
58	-0.988132
59	-0.987928
60	-0.988606
61	-0.988945
62	-0.988403
63	-0.989081
64	-0.988471
65	-0.988878
66	-0.987182
67	-0.987589
68	-0.987589
69	-0.988064
70	-0.989217
71	-0.99037
72	-0.989217
73	-0.989691
74	-0.986368
75	-0.987046
76	-0.98725
77	-0.987928
78	-0.989556
79	-0.989624
80	-0.988878
81	-0.988335
82	-0.989556
83	-0.989149
84	-0.990437
85	-0.989827
86	-0.989556
87	-0.986843
88	-0.988471
89	-0.988199
90	-0.988538
91	-0.986911
92	-0.98881
93	-0.989691
94	-0.988674
95	-0.988471
96	-0.988471
97	-0.989013
98	-0.988267
99	-0.987996
100	-0.987996
101	-0.987589
102	-0.990098
103	-0.989488
104	-0.989691
105	-0.988132
106	-0.987386
107	-0.988538
108	-0.987725
109	-0.988674
110	-0.988945
111	-0.989217
112	-0.987453
113	-0.987657
114	-0.989285
115	-0.990031
116	-0.989149
117	-0.988538
118	-0.989827
119	-0.988742
120	-0.98786
121	-0.987453
122	-0.988064
123	-0.988335
124	-0.987386
125	-0.988538
126	-0.988878
127	-0.986979
128	-0.988403
129	-0.988471
130	-0.988403
131	-0.987996
132	-0.989352
133	-0.990098
134	-0.989488
135	-0.988538
136	-0.98569
137	-0.987318
138	-0.988742
139	-0.989827
140	-0.990031
141	-0.988335
142	-0.989285
143	-0.988199
144	-0.986843
145	-0.986979
146	-0.987589
147	-0.989013
148	-0.989556
149	-0.988878
